,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Xie-Beni,Solving Time,Iterations
0,GS-FCM_k2_m1.05_eta0.1,0.4885432352357884,0.8495762711864406,0.8495762711864406,1.2217415884101337,0.34177573025730523,1065.3646075073166,0.4424712971675975,0.016117334365844727,2
1,GS-FCM_k2_m1.05_eta0.5,0.5125433138324301,0.8580508474576272,0.8580508474576272,1.2217415884101333,0.34177573025730623,1065.364607507318,0.44257148836881927,0.011588096618652344,1
2,GS-FCM_k2_m1.05_eta0.9,0.5125433138324301,0.8580508474576272,0.8580508474576272,1.2217415884101333,0.34177573025730623,1065.364607507318,0.44257148836884197,0.011103630065917969,1
3,GS-FCM_k2_m1.5_eta0.1,0.4885432352357884,0.8495762711864406,0.8495762711864406,1.2217415884101337,0.34177573025730523,1065.3646075073166,0.38805857348279954,0.4597172737121582,83
4,GS-FCM_k2_m1.5_eta0.5,0.4885432352357884,0.8495762711864406,0.8495762711864406,1.2217415884101337,0.34177573025730523,1065.3646075073166,0.42652300052710973,0.027846813201904297,4
5,GS-FCM_k2_m1.5_eta0.9,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618194,0.3417221130284885,1065.1072843301606,0.44264469390419564,0.041108131408691406,7
6,GS-FCM_k2_m1.75_eta0.1,0.012565628576642236,0.5572033898305084,0.5572033898305084,1.221741588410134,0.34177573025730595,1065.3646075073157,0.35015048591521836,1.4116401672363281,225
7,GS-FCM_k2_m1.75_eta0.5,0.4974758992194561,0.8527542372881356,0.8527542372881357,1.2218555243618212,0.34172211302848654,1065.1072843301583,0.38856827912036257,0.23906898498535156,45
8,GS-FCM_k2_m1.75_eta0.9,0.4885432352357884,0.8495762711864406,0.8495762711864406,1.2217415884101337,0.34177573025730523,1065.3646075073166,0.4415249216622575,0.015616178512573242,2
9,GS-FCM_k2_m2_eta0.1,0.0260971100159539,0.5815677966101694,0.5815677966101694,1.221855524361821,0.3417221130284863,1065.107284330158,0.31452833477842634,1.4277093410491943,260
10,GS-FCM_k2_m2_eta0.5,0.4885432352357884,0.8495762711864406,0.8495762711864406,1.2217415884101337,0.34177573025730523,1065.3646075073166,0.34186012826797957,0.028111696243286133,4
11,GS-FCM_k2_m2_eta0.9,0.4885432352357884,0.8495762711864406,0.8495762711864406,1.2217415884101337,0.34177573025730523,1065.3646075073166,0.4363971008162205,0.016017675399780273,2
12,GS-FCM_k3_m1.05_eta0.1,0.262240180646496,0.777542372881356,0.6636890383126295,0.8680760779183513,0.3723173188999683,1440.1930948930353,0.21856536321302733,0.06280112266540527,9
13,GS-FCM_k3_m1.05_eta0.5,0.24755301884228387,0.7823093220338984,0.6612012330872902,0.8679671300571382,0.3723304301884367,1440.294267417042,0.21854447508977645,0.06325411796569824,9
14,GS-FCM_k3_m1.05_eta0.9,0.262240180646496,0.777542372881356,0.6636890383126295,0.8680760779183513,0.3723173188999683,1440.1930948930353,0.2186023205748705,0.13759779930114746,24
15,GS-FCM_k3_m1.5_eta0.1,0.24583486247863737,0.7823093220338984,0.6594319079580687,0.8678480182983511,0.3723675969975509,1440.5876527808425,0.18938098764013475,0.3527381420135498,60
