,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,gmeans_k2_distance-euclidean_kfound2,0.002142976535285337,0.9610079575596817,0.6809780144817847,1.9705348200164818,0.21054334718967205,872.4736483955598,0.015627622604370117,
1,gmeans_k2_distance-manhattan_kfound2,0.0018148431902056102,0.9610079575596817,0.6785402614626752,1.9719674845811794,0.21051805564937925,871.4428927401536,0.03280997276306152,
2,gmeans_k2_distance-cosine_kfound2,0.0018259322713413775,0.9610079575596817,0.6789842013604463,1.9719388629989298,0.21050380721974682,871.1420664281464,0.02852034568786621,
3,gmeans_k3_distance-euclidean_kfound3,-0.003094421215490684,0.9610079575596817,0.6310512023871696,1.6128374455297425,0.24099031475933733,910.9439922606662,0.034897565841674805,
4,gmeans_k3_distance-manhattan_kfound3,0.0016829766084946352,0.9610079575596817,0.6811991545211001,1.564024536878639,0.26304996699904104,964.0342184910716,0.043236494064331055,
5,gmeans_k3_distance-cosine_kfound3,-0.0030981120349775296,0.9610079575596817,0.6322467614839765,1.609175526985258,0.24027318593072822,898.982752427517,0.04695248603820801,
6,gmeans_k4_distance-euclidean_kfound4,0.003328806308215687,0.9610079575596817,0.5485516822835738,1.36432944967881,0.2907813505634423,1046.517333617927,0.04691004753112793,
7,gmeans_k4_distance-manhattan_kfound4,0.003247431191218331,0.9610079575596817,0.5471958439490863,1.362906995459518,0.29106427391431045,1048.4883537195342,0.0632176399230957,
8,gmeans_k4_distance-cosine_kfound4,0.003175640430197452,0.9610079575596817,0.5490932691261746,1.3712530422408498,0.29100662111783676,1036.0706625329256,0.0416257381439209,
9,gmeans_k5_distance-euclidean_kfound5,-0.0023474712091668044,0.9610079575596817,0.4413729934783994,1.4933076593400927,0.25230725328894815,903.3126791740907,0.07812380790710449,
10,gmeans_k5_distance-manhattan_kfound5,-0.0018231881589570419,0.9610079575596817,0.4312294324652307,1.5028850914908054,0.2543787755076226,892.895591102465,0.09515810012817383,
11,gmeans_k5_distance-cosine_kfound5,-0.0025721643055257788,0.9610079575596817,0.4410580970680122,1.494439479266046,0.25117614047292564,894.6419247988872,0.10248756408691406,
12,gmeans_k6_distance-euclidean_kfound6,-0.00213961738968056,0.9610079575596817,0.4379017504822249,1.455119554019107,0.2646982507013519,815.1259749547856,0.18245387077331543,
13,gmeans_k6_distance-manhattan_kfound6,-0.0016390053128465323,0.9610079575596817,0.42771040857913734,1.4615794850660535,0.2665627306608806,806.5330221396453,0.08818960189819336,
14,gmeans_k6_distance-cosine_kfound6,-0.002864945848290474,0.9610079575596817,0.44042790225182005,1.452247567460481,0.2608659195764568,799.1034055538454,0.07815909385681152,
15,gmeans_k7_distance-euclidean_kfound7,-0.0018518941440661242,0.9610079575596817,0.390911328382896,1.4192836019787565,0.3024464900841887,842.7631646327437,0.09378457069396973,
16,gmeans_k7_distance-manhattan_kfound7,-0.001367052424851347,0.9610079575596817,0.4059123530733252,1.4295985432812393,0.30055965657888684,832.6172760385003,0.09318304061889648,
17,gmeans_k7_distance-cosine_kfound7,-0.0022962496755056096,0.9610079575596817,0.39427048719539376,1.4199423866995324,0.29802588441005917,827.0959873951178,0.09008026123046875,
18,gmeans_k8_distance-euclidean_kfound8,0.0005478134092974197,0.9610079575596817,0.3652388839372812,1.4051931871043606,0.33925035525219965,859.13827894355,0.11205577850341797,
19,gmeans_k8_distance-manhattan_kfound8,-0.0010581905119069136,0.9610079575596817,0.4009447791478794,1.4018476289859878,0.33391734216044633,845.570562511995,0.1145780086517334,
20,gmeans_k8_distance-cosine_kfound8,0.00017145264779887446,0.9610079575596817,0.3662823001780199,1.3991105986379475,0.3333487280909382,835.9514992445974,0.08931684494018555,
21,gmeans_k9_distance-euclidean_kfound9,-0.00037895528620932116,0.9610079575596817,0.32745130314834126,1.360936762789635,0.34325863360364933,796.1307231512228,0.17253851890563965,
22,gmeans_k9_distance-manhattan_kfound9,-0.0005779431534232524,0.9610079575596817,0.4141199297409629,1.2899747280430252,0.35599756555652456,808.3173102111906,0.125335693359375,
23,gmeans_k9_distance-cosine_kfound9,-1.879517869550472e-05,0.9610079575596817,0.3476402288255688,1.332092776902213,0.3473716253501852,799.505868595209,0.1106564998626709,
24,gmeans_k10_distance-euclidean_kfound10,-0.0011539403443163038,0.9610079575596817,0.32745130314834126,1.2460973750606552,0.36681959432832795,785.0003854767127,0.17557477951049805,
