,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,optics_k1_distance-euclidean_algorithmkd-tree_xi0.05_min5,,,,,,,2.324178457260132,
1,optics_k2_distance-euclidean_algorithmkd-tree_xi0.05_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4708492755889893,
2,optics_k1_distance-euclidean_algorithmkd-tree_xi0.1_min5,,,,,,,1.5261495113372803,
3,optics_k2_distance-euclidean_algorithmkd-tree_xi0.1_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4561309814453125,
4,optics_k1_distance-euclidean_algorithmball-tree_xi0.05_min5,,,,,,,1.4838142395019531,
5,optics_k2_distance-euclidean_algorithmball-tree_xi0.05_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4722650051116943,
6,optics_k1_distance-euclidean_algorithmball-tree_xi0.1_min5,,,,,,,1.4701452255249023,
7,optics_k2_distance-euclidean_algorithmball-tree_xi0.1_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4639980792999268,
8,optics_k1_distance-manhattan_algorithmkd-tree_xi0.05_min5,,,,,,,1.415963888168335,
9,optics_k2_distance-manhattan_algorithmkd-tree_xi0.05_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.3750367164611816,
10,optics_k1_distance-manhattan_algorithmkd-tree_xi0.1_min5,,,,,,,1.3759732246398926,
11,optics_k2_distance-manhattan_algorithmkd-tree_xi0.1_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4080352783203125,
12,optics_k1_distance-manhattan_algorithmball-tree_xi0.05_min5,,,,,,,1.4129970073699951,
13,optics_k2_distance-manhattan_algorithmball-tree_xi0.05_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.417999505996704,
14,optics_k1_distance-manhattan_algorithmball-tree_xi0.1_min5,,,,,,,1.3659641742706299,
15,optics_k2_distance-manhattan_algorithmball-tree_xi0.1_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4441378116607666,
16,optics_k1_distance-minkowski_algorithmkd-tree_xi0.05_min5,,,,,,,1.5681650638580322,
17,optics_k2_distance-minkowski_algorithmkd-tree_xi0.05_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4989964962005615,
18,optics_k1_distance-minkowski_algorithmkd-tree_xi0.1_min5,,,,,,,1.6000001430511475,
19,optics_k2_distance-minkowski_algorithmkd-tree_xi0.1_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4880037307739258,
20,optics_k1_distance-minkowski_algorithmball-tree_xi0.05_min5,,,,,,,2.6070427894592285,
21,optics_k2_distance-minkowski_algorithmball-tree_xi0.05_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,2.0799918174743652,
22,optics_k1_distance-minkowski_algorithmball-tree_xi0.1_min5,,,,,,,1.3869993686676025,
23,optics_k2_distance-minkowski_algorithmball-tree_xi0.1_min15,-0.0004947814620964986,0.5,0.5572232645403377,0.0,-0.00040736401003659017,2.5451662155858243e-27,1.4129631519317627,
