,k,distance,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,model,dataset
0,2,euclidean,0.002142976535285337,0.9610079575596817,0.6809780144817847,1.9705348200164818,0.21054334718967205,gmeans,sick
1,2,manhattan,0.0018148431902056102,0.9610079575596817,0.6785402614626752,1.9719674845811794,0.21051805564937925,gmeans,sick
2,2,cosine,0.0018259322713413775,0.9610079575596817,0.6789842013604463,1.9719388629989298,0.21050380721974682,gmeans,sick
3,3,euclidean,-0.003094421215490684,0.9610079575596817,0.6310512023871696,1.6128374455297425,0.24099031475933733,gmeans,sick
4,3,manhattan,0.0016829766084946352,0.9610079575596817,0.6811991545211001,1.564024536878639,0.26304996699904104,gmeans,sick
5,3,cosine,-0.0030981120349775296,0.9610079575596817,0.6322467614839765,1.609175526985258,0.24027318593072822,gmeans,sick
6,4,euclidean,0.003328806308215687,0.9610079575596817,0.5485516822835738,1.36432944967881,0.2907813505634423,gmeans,sick
7,4,manhattan,0.003247431191218331,0.9610079575596817,0.5471958439490863,1.362906995459518,0.29106427391431045,gmeans,sick
8,4,cosine,0.003175640430197452,0.9610079575596817,0.5490932691261746,1.3712530422408498,0.29100662111783676,gmeans,sick
9,5,euclidean,-0.004494903020535237,0.9610079575596817,0.5979117773598172,1.620841844786947,0.23588908649899973,gmeans,sick
10,5,manhattan,-0.005555892385983092,0.9610079575596817,0.6291336907455325,1.5985768182497055,0.23425429243980775,gmeans,sick
11,5,cosine,-0.0050427407616159695,0.9610079575596817,0.5984151433122062,1.6265110145204744,0.23287156734230008,gmeans,sick
12,6,euclidean,-0.0018518941440661242,0.9610079575596817,0.390911328382896,1.4192836019787565,0.3024464900841887,gmeans,sick
13,6,manhattan,-0.001367052424851347,0.9610079575596817,0.4059123530733252,1.4295985432812393,0.30055965657888684,gmeans,sick
14,6,cosine,-0.0022962496755056096,0.9610079575596817,0.39427048719539376,1.4199423866995322,0.29802588441005917,gmeans,sick
15,7,euclidean,-0.0018518941440661242,0.9610079575596817,0.390911328382896,1.4192836019787565,0.3024464900841887,gmeans,sick
16,7,manhattan,-0.001367052424851347,0.9610079575596817,0.4059123530733252,1.4295985432812393,0.30055965657888684,gmeans,sick
17,7,cosine,-0.0022962496755056096,0.9610079575596817,0.39427048719539376,1.4199423866995322,0.29802588441005917,gmeans,sick
