,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,spectral_k2affinity-r-b-f-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,0.3148525482951123,0.7807203389830508,0.7807203389830508,1.2314013791288776,0.33667025190458316,1043.5474630666438,0.9281713962554932,
1,spectral_k2affinity-r-b-f-assign_labels-k-m-e-a-n-s-eigen-solver-l-o-b-p-c-g-,0.2914991784587511,0.7701271186440678,0.7701271186440678,1.234679634358649,0.33496088120356327,1036.7450819923347,0.2395937442779541,
2,spectral_k2affinity-r-b-f-assign_labels-d-i-s-c-r-e-t-i-z-e-eigen-solver-a-r-p-a-c-k-,0.21683575860838858,0.7330508474576272,0.7330508474576272,1.234781803554515,0.33489887334957785,1036.559544247659,0.45867419242858887,
3,spectral_k2affinity-r-b-f-assign_labels-d-i-s-c-r-e-t-i-z-e-eigen-solver-l-o-b-p-c-g-,1.3192259723516511e-05,0.5116525423728814,0.5116525423728814,1.2231190748749217,0.34110921295989316,1062.2311651404518,0.2227189540863037,
4,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,0.05040819319010258,0.6128177966101694,0.6128177966101694,1.222841923222225,0.3412444133432196,1062.8438179363798,0.4496190547943115,
5,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,0.13544146766841705,0.684322033898305,0.684322033898305,1.2368547573893576,0.3329032979609677,1026.925806566298,0.4549696445465088,
6,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,0.19283681477639406,0.7198093220338984,0.7198093220338984,1.2301531788062996,0.33732583484286854,1046.1660153401224,0.6971862316131592,
7,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-a-r-p-a-c-k-,0.3391041246636411,0.7913135593220338,0.7913135593220337,1.2292869637275823,0.3377668749270667,1048.1605554964653,0.7364852428436279,
8,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-l-o-b-p-c-g-,0.05040819319010258,0.6128177966101694,0.6128177966101694,1.222841923222225,0.3412444133432196,1062.8438179363798,0.11864185333251953,
9,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-l-o-b-p-c-g-,0.13544146766841705,0.684322033898305,0.684322033898305,1.2368547573893576,0.3329032979609677,1026.925806566298,0.12024450302124023,
10,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-l-o-b-p-c-g-,0.19283681477639406,0.7198093220338984,0.7198093220338984,1.2301531788062996,0.33732583484286854,1046.1660153401224,0.14160537719726562,
11,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-k-m-e-a-n-s-eigen-solver-l-o-b-p-c-g-,0.34157868209273,0.7923728813559322,0.7923728813559322,1.2291951529298895,0.3378224057489173,1048.3169032544774,0.19886064529418945,
12,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-d-i-s-c-r-e-t-i-z-e-eigen-solver-a-r-p-a-c-k-,0.05040819319010258,0.6128177966101694,0.6128177966101694,1.222841923222225,0.3412444133432196,1062.8438179363798,0.31433582305908203,
13,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-d-i-s-c-r-e-t-i-z-e-eigen-solver-a-r-p-a-c-k-,0.13544146766841705,0.684322033898305,0.684322033898305,1.236854757389358,0.33290329796095675,1026.9258065662982,0.41926121711730957,
14,spectral_k2affinity-n-e-a-r-e-s-t-_-n-e-i-g-h-b-o-r-s-assign_labels-d-i-s-c-r-e-t-i-z-e-eigen-solver-a-r-p-a-c-k-,0.19283681477639406,0.7198093220338984,0.7198093220338984,1.2301531788062996,0.33732583484286854,1046.1660153401224,0.8333265781402588,
